,ticker,date,time,title,score
0,AMZN,2024-10-15,04:38PM,"Amazon launches AI tools, new capabilities for advertisers",0.1779
1,AMZN,2024-10-15,02:47PM,Jim Cramer Says Its Just a Matter of Time Before Amazon.com (NASDAQ:AMZN) Rebounds,0.0258
2,AMZN,2024-10-15,02:45PM,Amazon ramps up AI chip race,0.1779
3,AMZN,2024-10-15,01:47PM,Amazon Partners with Databricks in Five-Year Deal to Enhance AI Models,0.1779
4,AMZN,2024-10-15,01:45PM,"Final Trades: Amazon, Apollo Global and the IYR",0.1779
6,AMZN,2024-10-15,12:45PM,Amazon strikes AI chip deal with Databricks as it looks to narrow gap with Nvidia,-0.2023
7,AMZN,2024-10-15,12:17PM,Truth Social Stock Jumps as Election Prediction Markets Drift Toward Trump,0.3182
8,AMZN,2024-10-15,12:00PM,"Amazon unboxes advertiser capabilities spanning AI, DSP and insights",0.1779
9,AMZN,2024-10-15,11:57AM,"Google Redesigns Shopping Page With Infinite Scroll, Video",0.0
10,AMZN,2024-10-15,11:29AM,"Google Unveils Redesigned, AI-Powered U.S. Shopping Website",0.0
11,AMZN,2024-10-15,10:12AM,Amazon Ads Launches New AI Tools for Advertisers AI Creative Studio and Audio Generator,0.5574
12,AMZN,2024-10-15,10:00AM,"Amazon Unveils Simplified Product Launch, Optimization, and Measurement Solutions for Full-funnel Performance",0.6124
13,AMZN,2024-10-15,10:00AM,Amazon DSP Announces Next-Generation Ad Tech for Precise Full-funnel Reach and Performance,0.2023
14,AMZN,2024-10-15,09:00AM,Google Shopping is getting an AI upgrade as Alphabet looks to monetize investments,0.0
15,AMZN,2024-10-15,09:00AM,"Amazon Games Launches New World: Aeternum, Now Available for PlayStation 5, Xbox Series XS, and PC",0.1779
17,AMZN,2024-10-15,08:02AM,"Amazon, Databricks Strike Five-Year Deal Around AI Chips",0.0516
18,AMZN,2024-10-15,07:21AM,Will One Amazon Employee Tank the Tech Giant?,0.1779
19,AMZN,2024-10-15,06:59AM,Goldman Sachs analyst revisits Amazon stock price target ahead of earnings,0.1779
20,AMZN,2024-10-15,06:23AM,Google Joins Big Tech's Pivot To Nuclear Energy To Power AI,0.2732
21,AMZN,2024-10-15,06:10AM,2 No-Brainer Warren Buffett Stocks to Buy Right Now,0.0
22,AMZN,2024-10-15,05:55AM,"3 No-Brainer EV Stocks to Buy With $1,000 Right Now",0.0
23,AMZN,2024-10-15,05:15AM,The 4 Kirkland Items I'll Never Buy Again,0.0
24,AMZN,2024-10-15,04:51AM,Prediction: 2 Unstoppable Stocks That Will Beat the S&P 500 Again in 2025,-0.2023
25,AMZN,2024-10-15,04:50AM,3 Unstoppable Stocks to Buy With the Dow at an All-Time High,-0.2023
26,AMZN,2024-10-15,04:45AM,"If I Could Only Buy 2 Stocks in the Last Half of 2024, I'd Pick These",0.0
27,AMZN,2024-10-14,08:30PM,Where Will Etsy Stock Be in 5 Years?,0.0
28,AMZN,2024-10-14,08:17PM,"Prediction: This Fashion Retail Stock Is Down 97% From Its Highs, and It Might Be Acquired Within the Next Year. Here's Why.",0.0
29,AMZN,2024-10-14,08:14PM,Artificial Intelligence (AI) Investors Get Ready for a New IPO,0.6808
30,AMZN,2024-10-14,05:45PM,Amazon (AMZN) Stock Dips While Market Gains: Key Facts,0.4767
31,AMZN,2024-10-14,12:32PM,Salesforce: Prime Big Deal Days falls short outside Amazon,0.1779
33,AMZN,2024-10-14,11:59AM,Holiday beauty event returns to Amazon,0.802
34,AMZN,2024-10-14,11:09AM,Amazon to Deploy AI-Powered Tech to Help Delivery Drivers Find Packages,0.5267
35,AMZN,2024-10-14,09:45AM,Why Amazon (AMZN) is a Top Growth Stock for the Long-Term,0.6249
36,AMZN,2024-10-14,09:00AM,"Amazon.com, Inc. (AMZN) Is a Trending Stock: Facts to Know Before Betting on It",0.0
37,AMZN,2024-10-14,08:21AM,Amazon.com Inc. (AMZN): The E-Commerce and Cloud Powerhouse for the Next Decade,0.0
38,AMZN,2024-10-14,08:00AM,Navigating Market Uncertainty: Intrinsic Value of Amazon.com Inc,0.0
39,AMZN,2024-10-14,07:00AM,Amazon Climate Fund Announces New Investments in Sustainable Innovation,0.5106
40,AMZN,2024-10-14,06:57AM,Amazon will reprise holiday beauty sale,0.802
41,AMZN,2024-10-13,03:58PM,"Amazon.com, Inc. (AMZN): Hedge Funds Are Bullish On This Profitable Blue Chip Stock Right Now",0.4404
42,AMZN,2024-10-13,11:09AM,Walgreens: A New Risk Just Emerged for the Stock,-0.2732
43,AMZN,2024-10-13,10:23AM,"Amazon.com, Inc. (NASDAQ:AMZN) Is A Goldman Sachs Phase 2 AI Stock For The Next AI Wave",0.0
44,AMZN,2024-10-13,08:33AM,Veteran portfolio manager reveals top return to office stock,0.2023
45,AMZN,2024-10-13,08:33AM,Top return to office stock to watch,0.2023
46,AMZN,2024-10-13,08:10AM,Cathie Wood Has Been Piling Into Amazon Stock. Should Investors Follow Suit?,0.1779
